Long_name,units,description,CF_Standard_Name,Variable_Name,frequency,dimensions
Virtual Salt Flux Correction,kg m-2 s-1,It is set to zero in models which receive a real water flux.,virtual_salt_flux_correction,vsfcorr,mon,longitude latitude time
Downward Sea Ice Basal Salt Flux,kg m-2 s-1,"This field is physical, and it arises since sea ice has a nonzero salt content, so it exchanges salt with the liquid ocean upon melting and freezing.",downward_sea_ice_basal_salt_flux,sfdsi,mon,longitude latitude time
Salt Flux into Sea Water from Rivers,kg m-2 s-1,"This field is physical, and it arises when rivers carry a nonzero salt content.  Often this is zero, with rivers assumed to be fresh.",salt_flux_into_sea_water_from_rivers,sfriver,mon,longitude latitude time
Upward Geothermal Heat Flux at Sea Floor,W m-2,Upward geothermal heat flux per unit area on the sea floor,upward_geothermal_heat_flux_at_sea_floor,hfgeou,mon,longitude latitude time
Temperature Flux Due to Rainfall Expressed as Heat Flux into Sea Water,W m-2,"This is defined as ""where ice_free_sea over sea""; i.e., the total flux (considered here) entering the ice-free portion of the grid cell divided by the area of the ocean portion of the grid cell.  All such heat fluxes are computed based on Celsius scale.",temperature_flux_due_to_rainfall_expressed_as_heat_flux_into_sea_water,hfrainds,mon,longitude latitude time
Temperature Flux Due to Evaporation Expressed as Heat Flux out of Sea Water,W m-2,"This is defined as ""where ice_free_sea over sea""",temperature_flux_due_to_evaporation_expressed_as_heat_flux_out_of_sea_water,hfevapds,mon,longitude latitude time
Temperature Flux Due to Runoff Expressed as Heat Flux into Sea Water,W m-2,Heat flux associated with liquid water which drains from land. It is calculated relative to the heat that would be transported by runoff water entering the sea at zero degrees Celsius. ,temperature_flux_due_to_runoff_expressed_as_heat_flux_into_sea_water,hfrunoffds,mon,longitude latitude olevel time
Temperature Flux Due to Runoff Expressed as Heat Flux into Sea Water,W m-2,Heat flux associated with liquid water which drains from land. It is calculated relative to the heat that would be transported by runoff water entering the sea at zero degrees Celsius. ,temperature_flux_due_to_runoff_expressed_as_heat_flux_into_sea_water,hfrunoffds,mon,longitude latitude time
Heat Flux into Sea Water Due to Snow Thermodynamics,W m-2,"In accordance with common usage in geophysical disciplines, ""flux"" implies per unit area, called ""flux density"" in physics.  The specification of a physical process by the phrase due_to_process means that the quantity named is a  single term in a sum of terms which together compose the general quantity  named by omitting the phrase.  ""Snow thermodynamics"" refers to the addition or subtraction of mass due to surface and basal fluxes, i.e., due to melting, sublimation and fusion.",heat_flux_into_sea_water_due_to_snow_thermodynamics,hfsnthermds,mon,longitude latitude olevel time
Heat Flux into Sea Water Due to Snow Thermodynamics,W m-2,"In accordance with common usage in geophysical disciplines, ""flux"" implies per unit area, called ""flux density"" in physics.  The specification of a physical process by the phrase due_to_process means that the quantity named is a  single term in a sum of terms which together compose the general quantity  named by omitting the phrase.  ""Snow thermodynamics"" refers to the addition or subtraction of mass due to surface and basal fluxes, i.e., due to melting, sublimation and fusion.",heat_flux_into_sea_water_due_to_snow_thermodynamics,hfsnthermds,mon,longitude latitude time
Heat Flux into Sea Water Due to Frazil Ice Formation,W m-2,"In accordance with common usage in geophysical disciplines, ""flux"" implies per unit area, called ""flux density"" in physics. The specification of a physical process by the phrase due_to_process means that the quantity named is a single term in a sum of terms which together compose the general quantity named by omitting the phrase. ""Frazil"" consists of needle like crystals of ice, typically between three and four millimeters in diameter, which form as sea water begins to freeze. Salt is expelled during the freezing process and frazil ice consists of nearly pure fresh water.",heat_flux_into_sea_water_due_to_freezing_of_frazil_ice,hfsifrazil,mon,longitude latitude olevel time
Heat Flux into Sea Water Due to Frazil Ice Formation,W m-2,"In accordance with common usage in geophysical disciplines, ""flux"" implies per unit area, called ""flux density"" in physics. The specification of a physical process by the phrase due_to_process means that the quantity named is a single term in a sum of terms which together compose the general quantity named by omitting the phrase. ""Frazil"" consists of needle like crystals of ice, typically between three and four millimeters in diameter, which form as sea water begins to freeze. Salt is expelled during the freezing process and frazil ice consists of nearly pure fresh water.",heat_flux_into_sea_water_due_to_freezing_of_frazil_ice,hfsifrazil,mon,longitude latitude time
Heat Flux into Sea Water Due to Iceberg Thermodynamics,W m-2,"In accordance with common usage in geophysical disciplines, ""flux"" implies per unit area, called ""flux density"" in physics.  The specification of a physical process by the phrase due_to_process means that the quantity named is a  single term in a sum of terms which together compose the general quantity  named by omitting the phrase.  "" Iceberg thermodynamics"" refers to the addition or subtraction of mass due to surface and basal fluxes, i.e., due to melting, sublimation and fusion.",heat_flux_into_sea_water_due_to_iceberg_thermodynamics,hfibthermds,mon,longitude latitude olevel time
Heat Flux into Sea Water Due to Iceberg Thermodynamics,W m-2,"In accordance with common usage in geophysical disciplines, ""flux"" implies per unit area, called ""flux density"" in physics.  The specification of a physical process by the phrase due_to_process means that the quantity named is a  single term in a sum of terms which together compose the general quantity  named by omitting the phrase.  "" Iceberg thermodynamics"" refers to the addition or subtraction of mass due to surface and basal fluxes, i.e., due to melting, sublimation and fusion.",heat_flux_into_sea_water_due_to_iceberg_thermodynamics,hfibthermds,mon,longitude latitude time
Surface Net Downward Longwave Radiation,W m-2,"This is defined as ""where ice_free_sea over sea""",surface_net_downward_longwave_flux,rlntds,mon,longitude latitude time
Surface Downward Latent Heat Flux,W m-2,This is defined as with the cell methods string: where ice_free_sea over sea,surface_downward_latent_heat_flux,hflso,mon,longitude latitude time
Surface Downward Sensible Heat Flux,W m-2,"Downward sensible heat flux over sea ice free sea. The surface sensible heat flux, also called turbulent heat flux, is the exchange of heat between the surface and the air by motion of air.",surface_downward_sensible_heat_flux,hfsso,mon,longitude latitude time
Net Downward Shortwave Radiation at Sea Water Surface,W m-2,"This is the flux into the surface of liquid sea water only. This excludes shortwave flux absorbed by sea ice, but includes any light that passes through the ice and is absorbed by the ocean.",net_downward_shortwave_flux_at_sea_water_surface,rsntds,mon,longitude latitude time
Downwelling Shortwave Radiation in Sea Water,W m-2,"Downwelling radiation is radiation from above. It does not mean ""net downward"".  When thought of as being incident on a surface, a radiative flux is sometimes called ""irradiance"".  In addition, it is identical with the quantity measured by a cosine-collector light-meter and sometimes called ""vector irradiance"".  In accordance with common usage in geophysical disciplines, ""flux"" implies per unit area, called ""flux density"" in physics.  ""shortwave"" means shortwave radiation.",downwelling_shortwave_flux_in_sea_water,rsdo,mon,longitude latitude olevel time
Heat Flux Correction,W m-2,"Flux correction is also called ""flux adjustment"". A positive flux correction is downward i.e. added to the ocean. In accordance with common usage in geophysical disciplines, ""flux"" implies per unit area, called ""flux density"" in physics.",heat_flux_correction,hfcorr,mon,longitude latitude time
Downward Heat Flux at Sea Water Surface,W m-2,"This is the net flux of heat entering the liquid water column through its upper surface (excluding any ""flux adjustment"") .",surface_downward_heat_flux_in_sea_water,hfds,mon,longitude latitude time
Sea Water Surface Downward X Stress,N m-2,"This is the stress on the liquid ocean from overlying atmosphere, sea ice, ice shelf, etc.",downward_x_stress_at_sea_water_surface,tauuo,mon,longitude latitude time
Sea Water Surface Downward Y Stress,N m-2,"This is the stress on the liquid ocean from overlying atmosphere, sea ice, ice shelf, etc.",downward_y_stress_at_sea_water_surface,tauvo,mon,longitude latitude time
Sea Water Surface Downward X Stress Correction,N m-2,"This is the stress on the liquid ocean from overlying atmosphere, sea ice, ice shelf, etc.",downward_x_stress_correction_at_sea_water_surface,tauucorr,mon,longitude latitude time
Sea Water Surface Downward Y Stress Correction,N m-2,"This is the stress on the liquid ocean from overlying atmosphere, sea ice, ice shelf, etc.",downward_y_stress_correction_at_sea_water_surface,tauvcorr,mon,longitude latitude time
Depth Below Geoid of Ocean Layer,m,Depth below geoid,depth_below_geoid,zfullo,mon,longitude latitude olevel time
Depth Below Geoid of Interfaces Between Ocean Layers,m,Depth below geoid,depth_below_geoid,zhalfo,mon,longitude latitude olevhalf time
Mole Concentration of Dimethyl Sulphide in Sea Water,mol m-3,Mole concentration of dimethyl sulphide in water,mole_concentration_of_dimethyl_sulfide_in_sea_water,dmso,mon,longitude latitude olevel time
Total Grazing of Phytoplankton by Zooplankton,mol m-3 s-1,Total grazing of phytoplankton by zooplankton defined as tendency of moles of carbon per cubic metre.,tendency_of_mole_concentration_of_particulate_organic_matter_expressed_as_carbon_in_sea_water_due_to_grazing_of_phytoplankton,graz,mon,longitude latitude olevel time
Downward Flux of Particulate Organic Carbon,mol m-2 s-1,Downward flux of particulate organic carbon,sinking_mole_flux_of_particulate_organic_matter_expressed_as_carbon_in_sea_water,expc,mon,longitude latitude olevel time
Nitrogen Limitation of Diatoms,1,"Diatoms are phytoplankton with an external skeleton made of silica. Phytoplankton are algae that grow where there is sufficient light to support photosynthesis. ""Nitrogen growth limitation"" means the ratio of the growth rate of a species population in the environment (where there is a finite availability of nitrogen) to the theoretical growth rate if there were no such limit on nitrogen availability.",nitrogen_growth_limitation_of_diatoms,limndiat,mon,longitude latitude time
Nitrogen Limitation of Diazotrophs,1,"In ocean modelling, diazotrophs are phytoplankton of the phylum cyanobacteria distinct from other phytoplankton groups in their ability to fix nitrogen gas in addition to nitrate and ammonium. Phytoplankton are algae that grow where there is sufficient light to support photosynthesis. ""Nitrogen growth limitation"" means the ratio of the growth rate of a species population in the environment (where there is a finite availability of nitrogen) to the theoretical growth rate if there were no such limit on nitrogen availability.",nitrogen_growth_limitation_of_diazotrophic_phytoplankton,limndiaz,mon,longitude latitude time
Nitrogen Limitation of Calcareous Phytoplankton,1,"""Calcareous phytoplankton"" are phytoplankton that produce calcite. Calcite is a mineral that is a polymorph of calcium carbonate. The chemical formula of calcite is CaCO3. Phytoplankton are algae that grow where there is sufficient light to support photosynthesis. ""Nitrogen growth limitation"" means the ratio of the growth rate of a species population in the environment (where there is a finite availability of nitrogen) to the theoretical growth rate if there were no such limit on nitrogen availability.",nitrogen_growth_limitation_of_calcareous_phytoplankton,limncalc,mon,longitude latitude time
Nitrogen Limitation of Picophytoplankton,1,"Picophytoplankton are phytoplankton of less than 2 micrometers in size. Phytoplankton are algae that grow where there is sufficient light to support photosynthesis. ""Nitrogen growth limitation"" means the ratio of the growth rate of a species population in the environment (where there is a finite availability of nitrogen) to the theoretical growth rate if there were no such limit on nitrogen availability.",nitrogen_growth_limitation_of_picophytoplankton,limnpico,mon,longitude latitude time
Nitrogen Limitation of Other Phytoplankton,1,"Phytoplankton are algae that grow where there is sufficient light to support photosynthesis. ""Miscellaneous phytoplankton"" are all those phytoplankton that are not diatoms, diazotrophs, calcareous phytoplankton, picophytoplankton or other separately named components of the phytoplankton population. ""Nitrogen growth limitation"" means the ratio of the growth rate of a species population in the environment (where there is a finite availability of nitrogen) to the theoretical growth rate if there were no such limit on nitrogen availability.",nitrogen_growth_limitation_of_miscellaneous_phytoplankton,limnmisc,mon,longitude latitude time
Irradiance Limitation of Diatoms,1,"Growth limitation of diatoms due to solar irradiance. ""Growth limitation due to solar irradiance"" means the ratio of the growth rate of a species population in the environment (where the amount of sunlight reaching a location may be limited) to the theoretical growth rate if there were no such limit on solar irradiance.",growth_limitation_of_diatoms_due_to_solar_irradiance,limirrdiat,mon,longitude latitude time
Irradiance Limitation of Diazotrophs,1,"Growth limitation of diazotrophs due to solar irradiance. ""Growth limitation due to solar irradiance"" means the ratio of the growth rate of a species population in the environment (where the amount of sunlight reaching a location may be limited) to the theoretical growth rate if there were no such limit on solar irradiance.",growth_limitation_of_diazotrophic_phytoplankton_due_to_solar_irradiance,limirrdiaz,mon,longitude latitude time
Irradiance Limitation of Calcareous Phytoplankton,1,"Growth limitation of calcareous phytoplankton due to solar irradiance. ""Growth limitation due to solar irradiance"" means the ratio of the growth rate of a species population in the environment (where the amount of sunlight reaching a location may be limited) to the theoretical growth rate if there were no such limit on solar irradiance.",growth_limitation_of_calcareous_phytoplankton_due_to_solar_irradiance,limirrcalc,mon,longitude latitude time
Irradiance Limitation of Picophytoplankton,1,"Growth limitation of picophytoplankton due to solar irradiance. ""Growth limitation due to solar irradiance"" means the ratio of the growth rate of a species population in the environment (where the amount of sunlight reaching a location may be limited) to the theoretical growth rate if there were no such limit on solar irradiance.",growth_limitation_of_picophytoplankton_due_to_solar_irradiance,limirrpico,mon,longitude latitude time
Irradiance Limitation of Other Phytoplankton,1,"Growth limitation of miscellaneous phytoplankton due to solar irradiance. ""Growth limitation due to solar irradiance"" means the ratio of the growth rate of a species population in the environment (where the amount of sunlight reaching a location may be limited) to the theoretical growth rate if there were no such limit on solar irradiance.",growth_limitation_of_miscellaneous_phytoplankton_due_to_solar_irradiance,limirrmisc,mon,longitude latitude time
Iron Limitation of Diatoms,1,"Diatoms are phytoplankton with an external skeleton made of silica. Phytoplankton are algae that grow where there is sufficient light to support photosynthesis. ""Iron growth limitation"" means the ratio of the growth rate of a species population in the environment (where there is a finite availability of iron) to the theoretical growth rate if there were no such limit on iron availability.",iron_growth_limitation_of_diatoms,limfediat,mon,longitude latitude time
Iron Limitation of Diazotrophs,1,"In ocean modelling, diazotrophs are phytoplankton of the phylum cyanobacteria distinct from other phytoplankton groups in their ability to fix nitrogen gas in addition to nitrate and ammonium. Phytoplankton are algae that grow where there is sufficient light to support photosynthesis. ""Iron growth limitation"" means the ratio of the growth rate of a species population in the environment (where there is a finite availability of iron) to the theoretical growth rate if there were no such limit on iron availability.",iron_growth_limitation_of_diazotrophic_phytoplankton,limfediaz,mon,longitude latitude time
Iron Limitation of Calcareous Phytoplankton,1,"""Calcareous phytoplankton"" are phytoplankton that produce calcite. Calcite is a mineral that is a polymorph of calcium carbonate. The chemical formula of calcite is CaCO3. Phytoplankton are algae that grow where there is sufficient light to support photosynthesis. ""Iron growth limitation"" means the ratio of the growth rate of a species population in the environment (where there is a finite availability of iron) to the theoretical growth rate if there were no such limit on iron availability.",iron_growth_limitation_of_calcareous_phytoplankton,limfecalc,mon,longitude latitude time
Iron Limitation of Picophytoplankton,1,"Picophytoplankton are phytoplankton of less than 2 micrometers in size. Phytoplankton are algae that grow where there is sufficient light to support photosynthesis. ""Iron growth limitation"" means the ratio of the growth rate of a species population in the environment (where there is a finite availability of iron) to the theoretical growth rate if there were no such limit on iron availability.",iron_growth_limitation_of_picophytoplankton,limfepico,mon,longitude latitude time
Iron Limitation of Other Phytoplankton,1,"Phytoplankton are algae that grow where there is sufficient light to support photosynthesis. ""Miscellaneous phytoplankton"" are all those phytoplankton that are not diatoms, diazotrophs, calcareous phytoplankton, picophytoplankton or other separately named components of the phytoplankton population. ""Iron growth limitation"" means the ratio of the growth rate of a species population in the environment (where there is a finite availability of iron) to the theoretical growth rate if there were no such limit on iron availability.",iron_growth_limitation_of_miscellaneous_phytoplankton,limfemisc,mon,longitude latitude time
Primary Organic Carbon Production by All Types of Phytoplankton,mol m-2 s-1,"Vertically integrated total primary (organic carbon) production by phytoplankton.  This should equal the sum of intpdiat+intpphymisc, but those individual components may be unavailable in some models.",net_primary_mole_productivity_of_biomass_expressed_as_carbon_by_phytoplankton,intpp,mon,longitude latitude time
Primary Organic Carbon Production by Phytoplankton Based on Nitrate Uptake Alone,mol m-2 s-1,Vertically integrated primary (organic carbon) production by phytoplankton based on nitrate uptake alone,net_primary_mole_productivity_of_biomass_expressed_as_carbon_due_to_nitrate_utilization,intppnitrate,mon,longitude latitude time
Net Primary Organic Carbon Production by Diatoms,mol m-2 s-1,Vertically integrated primary (organic carbon) production by the diatom phytoplankton component alone,net_primary_mole_productivity_of_biomass_expressed_as_carbon_by_diatoms,intppdiat,mon,longitude latitude time
Net Primary Mole Productivity of Carbon by Diazotrophs,mol m-2 s-1,Vertically integrated primary (organic carbon) production by the diazotrophs alone,net_primary_mole_productivity_of_biomass_expressed_as_carbon_by_diazotrophic_phytoplankton,intppdiaz,mon,longitude latitude time
Net Primary Mole Productivity of Carbon by Calcareous Phytoplankton,mol m-2 s-1,Vertically integrated primary (organic carbon) production by the calcareous phytoplankton component alone,net_primary_mole_productivity_of_biomass_expressed_as_carbon_by_calcareous_phytoplankton,intppcalc,mon,longitude latitude time
Net Primary Mole Productivity of Carbon by Picophytoplankton,mol m-2 s-1,Vertically integrated primary (organic carbon) production by the picophytoplankton component alone,net_primary_mole_productivity_of_biomass_expressed_as_carbon_by_picophytoplankton,intpppico,mon,longitude latitude time
Net Primary Organic Carbon Production by Other Phytoplankton,mol m-2 s-1,Vertically integrated total primary (organic carbon) production by other phytoplankton components alone,net_primary_mole_productivity_of_biomass_expressed_as_carbon_by_miscellaneous_phytoplankton,intppmisc,mon,longitude latitude time
Nitrogen Production,mol m-2 s-1,Vertically integrated biogenic nitrogen production,tendency_of_ocean_mole_content_of_nitrogen_due_to_biological_production,intpbn,mon,longitude latitude time
Phosphorus Production,mol m-2 s-1,Vertically integrated biogenic phosphorus production,tendency_of_ocean_mole_content_of_phosphorus_due_to_biological_production,intpbp,mon,longitude latitude time
Iron Production,mol m-2 s-1,Vertically integrated biogenic iron production,tendency_of_ocean_mole_content_of_iron_due_to_biological_production,intpbfe,mon,longitude latitude time
Silicon Production,mol m-2 s-1,Vertically integrated biogenic silica production,tendency_of_ocean_mole_content_of_silicon_due_to_biological_production,intpbsi,mon,longitude latitude time
Calcite Production,mol m-2 s-1,Vertically integrated calcite production,tendency_of_ocean_mole_content_of_calcite_expressed_as_carbon_due_to_biological_production,intpcalcite,mon,longitude latitude time
Aragonite Production,mol m-2 s-1,Vertically integrated aragonite production,tendency_of_ocean_mole_content_of_aragonite_expressed_as_carbon_due_to_biological_production,intparag,mon,longitude latitude time
Downward Flux of Particulate Organic Carbon,mol m-2 s-1,"The phrase 'expressed_as' is used in the construction A_expressed_as_B, where B is a chemical constituent of A. It means that the quantity indicated by the standard name is calculated solely with respect to the B contained in A, neglecting all other chemical constituents of A. In accordance with common usage in geophysical disciplines, ""flux"" implies per unit area, called ""flux density"" in physics.   'Sinking' is the gravitational settling of particulate matter suspended in a liquid. A sinking flux is positive downwards and is calculated relative to the movement of the surrounding fluid.",sinking_mole_flux_of_particulate_organic_matter_expressed_as_carbon_in_sea_water,epc100,mon,longitude latitude time depth100m
Downward Flux of Particulate Nitrogen,mol m-2 s-1,"In accordance with common usage in geophysical disciplines, ""flux"" implies per unit area, called ""flux density"" in physics.   'Sinking' is the gravitational settling of particulate matter suspended in a liquid. A sinking flux is positive downwards and is calculated relative to the movement of the surrounding fluid.",sinking_mole_flux_of_particulate_organic_nitrogen_in_sea_water,epn100,mon,longitude latitude time depth100m
Downward Flux of Particulate Phosphorus,mol m-2 s-1,"In accordance with common usage in geophysical disciplines, ""flux"" implies per unit area, called ""flux density"" in physics.   'Sinking' is the gravitational settling of particulate matter suspended in a liquid. A sinking flux is positive downwards and is calculated relative to the movement of the surrounding fluid.",sinking_mole_flux_of_particulate_organic_phosphorus_in_sea_water,epp100,mon,longitude latitude time depth100m
Downward Flux of Particulate Iron,mol m-2 s-1,"In accordance with common usage in geophysical disciplines, ""flux"" implies per unit area, called ""flux density"" in physics.   'Sinking' is the gravitational settling of particulate matter suspended in a liquid. A sinking flux is positive downwards and is calculated relative to the movement of the surrounding fluid.",sinking_mole_flux_of_particulate_iron_in_sea_water,epfe100,mon,longitude latitude time depth100m
Downward Flux of Particulate Silicon,mol m-2 s-1,"In accordance with common usage in geophysical disciplines, ""flux"" implies per unit area, called ""flux density"" in physics.   'Sinking' is the gravitational settling of particulate matter suspended in a liquid. A sinking flux is positive downwards and is calculated relative to the movement of the surrounding fluid.",sinking_mole_flux_of_particulate_silicon_in_sea_water,epsi100,mon,longitude latitude time depth100m
Downward Flux of Calcite,mol m-2 s-1,"The phrase 'expressed_as' is used in the construction A_expressed_as_B, where B is a chemical constituent of A. It means that the quantity indicated by the standard name is calculated solely with respect to the B contained in A, neglecting all other chemical constituents of A. In accordance with common usage in geophysical disciplines, ""flux"" implies per unit area, called ""flux density"" in physics.   'Sinking' is the gravitational settling of particulate matter suspended in a liquid. A sinking flux is positive downwards and is calculated relative to the movement of the surrounding fluid. Calcite is a mineral that is a polymorph of calcium carbonate. The chemical formula of calcite is CaCO3. Standard names also exist for aragonite, another polymorph of calcium carbonate.",sinking_mole_flux_of_calcite_expressed_as_carbon_in_sea_water,epcalc100,mon,longitude latitude time depth100m
Downward Flux of Aragonite,mol m-2 s-1,"The phrase 'expressed_as' is used in the construction A_expressed_as_B, where B is a chemical constituent of A. It means that the quantity indicated by the standard name is calculated solely with respect to the B contained in A, neglecting all other chemical constituents of A. In accordance with common usage in geophysical disciplines, ""flux"" implies per unit area, called ""flux density"" in physics.   'Sinking' is the gravitational settling of particulate matter suspended in a liquid. A sinking flux is positive downwards and is calculated relative to the movement of the surrounding fluid. Aragonite is a mineral that is a polymorph of calcium carbonate. The chemical formula of aragonite is CaCO3. Standard names also exist for calcite, another polymorph of calcium carbonate.",sinking_mole_flux_of_aragonite_expressed_as_carbon_in_sea_water,eparag100,mon,longitude latitude time depth100m
Dissolved Inorganic Carbon Content,kg m-2,Vertically integrated DIC,ocean_mass_content_of_dissolved_inorganic_carbon,intdic,mon,longitude latitude time
Dissolved Organic Carbon Content,kg m-2,Vertically integrated DOC (explicit pools only),ocean_mass_content_of_dissolved_organic_carbon,intdoc,mon,longitude latitude time
Particulate Organic Carbon Content,kg m-2,Vertically integrated POC,ocean_mass_content_of_particulate_organic_matter_expressed_as_carbon,intpoc,mon,longitude latitude time
Surface Aqueous Partial Pressure of CO2,Pa,"The surface called ""surface"" means the lower boundary of the atmosphere. The partial pressure of a dissolved gas in sea water is the partial pressure in air with which it would be in equilibrium. The partial pressure of a gaseous constituent of air is the pressure which it alone would exert with unchanged temperature and number of moles per unit volume. The chemical formula for carbon dioxide is CO2.",surface_partial_pressure_of_carbon_dioxide_in_sea_water,spco2,mon,longitude latitude time depth0m
Natural Surface Aqueous Partial Pressure of CO2,Pa,"The surface called ""surface"" means the lower boundary of the atmosphere. The chemical formula for carbon dioxide is CO2. In ocean biogeochemistry models, a ""natural analogue"" is used to simulate the effect on a modelled variable of imposing preindustrial atmospheric carbon dioxide concentrations, even when the model as a whole may be subjected to varying forcings. The partial pressure of a gaseous constituent of air is the pressure which it alone would exert with unchanged temperature and number of moles per unit volume. The partial pressure of a dissolved gas in sea water is the partial pressure in air with which it would be in equilibrium. The partial pressure difference between sea water and air is positive when the partial pressure of the dissolved gas in sea water is greater than the partial pressure in air.",surface_carbon_dioxide_natural_analogue_partial_pressure_difference_between_sea_water_and_air,spco2nat,mon,longitude latitude time depth0m
Abiotic Surface Aqueous Partial Pressure of CO2,Pa,"The surface called ""surface"" means the lower boundary of the atmosphere. The chemical formula for carbon dioxide is CO2. In ocean biogeochemistry models, an ""abiotic analogue"" is used to simulate the effect on a modelled variable when biological effects on ocean carbon concentration and alkalinity are ignored. The partial pressure of a gaseous constituent of air is the pressure which it alone would exert with unchanged temperature and number of moles per unit volume. The partial pressure of a dissolved gas in sea water is the partial pressure in air with which it would be in equilibrium. The partial pressure difference between sea water and air is positive when the partial pressure of the dissolved gas in sea water is greater than the partial pressure in air.",surface_carbon_dioxide_abiotic_analogue_partial_pressure_difference_between_sea_water_and_air,spco2abio,mon,longitude latitude time depth0m
Delta CO2 Partial Pressure,Pa,Difference in partial pressure of carbon dioxide between sea water and air.  The partial pressure of a dissolved gas in sea water is the partial pressure in air with which it would be in equilibrium. ,surface_carbon_dioxide_partial_pressure_difference_between_sea_water_and_air,dpco2,mon,longitude latitude time depth0m
Natural Delta CO2 Partial Pressure ,Pa,"Difference in partial pressure of natural-analogue carbon dioxide between sea water and air.  The partial pressure of a dissolved gas in sea water is the partial pressure in air with which it would be in equilibrium.  A natural analogue is used to simulate the effect on a modelled variable of imposing preindustrial atmospheric carbon dioxide concentrations, even when the model as a whole may be subjected to varying forcings. ",surface_carbon_dioxide_natural_analogue_partial_pressure_difference_between_sea_water_and_air,dpco2nat,mon,longitude latitude time depth0m
Abiotic Delta Pco Partial Pressure,Pa,Difference in partial pressure of abiotic-analogue carbon dioxide between sea water and air.  The partial pressure of a dissolved gas in sea water is the partial pressure in air with which it would be in equilibrium. An abiotic analogue is used to simulate the effect on a modelled variable when biological effects on ocean carbon concentration and alkalinity are ignored.,surface_carbon_dioxide_abiotic_analogue_partial_pressure_difference_between_sea_water_and_air,dpco2abio,mon,longitude latitude time depth0m
Delta O2 Partial Pressure,Pa,"The partial pressure of a dissolved gas in sea water is the partial pressure in air with which it would be in equilibrium.  The partial pressure of a gaseous constituent of air is the pressure which it alone would exert with unchanged temperature and number of moles per unit volume.  The surface called ""surface"" means the lower boundary of the atmosphere.",surface_molecular_oxygen_partial_pressure_difference_between_sea_water_and_air,dpo2,mon,longitude latitude time depth0m
Surface Downward Mass Flux of Carbon as CO2 [kgC m-2 s-1],kg m-2 s-1,Gas exchange flux of CO2 (positive into ocean),surface_downward_mass_flux_of_carbon_dioxide_expressed_as_carbon,fgco2,mon,longitude latitude time depth0m
Surface Downward Mass Flux of Carbon as Natural CO2 [kgC m-2 s-1],kg m-2 s-1,Gas exchange flux of natural CO2 (positive into ocean),surface_downward_mass_flux_of_carbon_dioxide_natural_analogue_expressed_as_carbon,fgco2nat,mon,longitude latitude time depth0m
Surface Downward Mass Flux of Carbon as Abiotic CO2 [kgC m-2 s-1],kg m-2 s-1,Gas exchange flux of abiotic CO2 (positive into ocean),surface_downward_mass_flux_of_carbon_dioxide_abiotic_analogue_expressed_as_carbon,fgco2abio,mon,longitude latitude time depth0m
Surface Downward Mass Flux of Carbon-14 as Abiotic 14CO2 [kgC m-2 s-1],kg m-2 s-1,Gas exchange flux of abiotic 14CO2 (positive into ocean),surface_downward_mass_flux_of_14C_dioxide_abiotic_analogue_expressed_as_carbon,fg14co2abio,mon,longitude latitude time depth0m
Surface Downward Mass Flux of Carbon-13 as 13CO2 [kgC m-2 s-1],kg m-2 s-1,Gas exchange flux of carbon-13 as CO2 (positive into ocean),surface_downward_mass_flux_of_13C_dioxide_abiotic_analogue_expressed_as_13C,fg13co2,mon,longitude latitude time depth0m
Surface Downward Flux of O2,mol m-2 s-1,Gas exchange flux of O2 (positive into ocean),surface_downward_mole_flux_of_molecular_oxygen,fgo2,mon,longitude latitude time depth0m
Surface Upward Flux of DMS,mol m-2 s-1,Gas exchange flux of DMS (positive into atmosphere),surface_upward_mole_flux_of_dimethyl_sulfide,fgdms,mon,longitude latitude time depth0m
Flux of Inorganic Carbon into Ocean Surface by Runoff,mol m-2 s-1,Inorganic Carbon supply to ocean through runoff (separate from gas exchange),tendency_of_ocean_mole_content_of_inorganic_carbon_due_to_runoff_and_sediment_dissolution,icfriver,mon,longitude latitude time depth0m
Downward Inorganic Carbon Flux at Ocean Bottom,mol m-2 s-1,Inorganic Carbon loss to sediments,minus_tendency_of_ocean_mole_content_of_inorganic_carbon_due_to_sedimentation,fric,mon,longitude latitude time
Flux of Organic Carbon into Ocean Surface by Runoff,mol m-2 s-1,Organic Carbon supply to ocean through runoff (separate from gas exchange),tendency_of_ocean_mole_content_of_organic_carbon_due_to_runoff_and_sediment_dissolution,ocfriver,mon,longitude latitude time depth0m
Downward Organic Carbon Flux at Ocean Bottom,mol m-2 s-1,Organic Carbon loss to sediments,minus_tendency_of_ocean_mole_content_of_organic_carbon_due_to_sedimentation,froc,mon,longitude latitude time
Nitrogen Fixation Rate in Ocean,mol m-2 s-1,Vertically integrated nitrogen fixation,tendency_of_ocean_mole_content_of_elemental_nitrogen_due_to_fixation,intpn2,mon,longitude latitude time
Surface Downward Net Flux of Nitrogen,mol m-2 s-1,"Flux of nitrogen into the ocean due to deposition (sum of dry and wet deposition), fixation (the production of ammonia from nitrogen gas by diazotrophs) and runoff (liquid water which drains from land).",tendency_of_ocean_mole_content_of_elemental_nitrogen_due_to_deposition_and_fixation_and_runoff,fsn,mon,longitude latitude time depth0m
